date,forecast_AR,forecast_ADL,forecast_RF,actual,forecast_Ensemble,CI_Lower,CI_Upper
2014-01-01,2.997,3.093,3.249,-1.383,3.113,-2.466,8.692
2014-04-01,2.868,7.3,4.292,5.134,4.82,-0.759,10.399
2014-07-01,2.591,2.87,2.332,4.832,2.598,-2.981,8.176
2014-10-01,3.201,3.864,2.585,2.018,3.217,-2.362,8.796
2015-01-01,3.093,3.525,0.909,3.586,2.509,-3.07,8.088
2015-04-01,2.87,0.221,1.265,2.47,1.452,-4.127,7.031
2015-07-01,2.987,3.428,2.347,1.598,2.921,-2.658,8.5
2015-10-01,2.857,1.637,1.633,0.737,2.042,-3.537,7.621
2016-01-01,2.75,1.083,1.903,2.311,1.912,-3.667,7.491
2016-04-01,2.712,3.092,2.088,1.282,2.631,-2.948,8.209
2016-07-01,2.833,2.51,2.256,2.828,2.533,-3.046,8.112
2016-10-01,2.779,3.744,2.252,2.211,2.925,-2.654,8.504
2017-01-01,2.908,4.036,2.236,1.943,3.06,-2.519,8.639
2017-04-01,2.842,3.369,4.474,2.233,3.562,-2.017,9.14
2017-07-01,2.825,3.385,2.048,3.142,2.752,-2.826,8.331
2017-10-01,2.878,4.041,4.349,4.483,3.756,-1.823,9.335
2018-01-01,3.002,3.414,2.27,3.24,2.895,-2.684,8.474
2018-04-01,3.094,2.942,3.705,2.118,3.247,-2.332,8.826
2018-07-01,2.944,4.736,3.103,2.487,3.594,-1.984,9.173
2018-10-01,2.848,1.346,2.076,0.566,2.09,-3.489,7.669
2019-01-01,2.829,3.15,1.732,2.49,2.57,-3.008,8.149
2019-04-01,2.701,2.72,1.967,3.327,2.463,-3.116,8.042
2019-07-01,2.907,2.055,1.966,4.653,2.309,-3.269,7.888
2019-10-01,3.024,1.696,2.149,2.718,2.29,-3.289,7.868
2020-01-01,3.095,-5.673,-0.14,-5.3,-0.906,-6.485,4.673
2020-04-01,2.685,-28.921,-5.598,-32.817,-10.611,-16.19,-5.032
2020-07-01,1.148,29.636,8.849,29.903,13.211,7.632,18.79
2020-10-01,0.306,4.317,6.152,4.509,3.592,-1.987,9.171
2021-01-01,5.543,6.969,2.4,5.545,4.971,-0.608,10.55
2021-04-01,3.162,6.306,4.713,6.75,4.727,-0.852,10.306
2021-07-01,3.294,1.95,2.527,3.287,2.59,-2.988,8.169
2021-10-01,3.311,3.992,3.01,6.805,3.438,-2.141,9.017
2022-01-01,3.081,2.259,2.545,-1.02,2.628,-2.95,8.207
2022-04-01,3.194,3.179,2.41,0.626,2.928,-2.651,8.507
2022-07-01,2.498,2.671,2.236,2.877,2.468,-3.111,8.047
2022-10-01,2.718,2.43,2.087,2.751,2.412,-3.167,7.991
2023-01-01,2.928,1.908,2.244,2.885,2.36,-3.219,7.939
2023-04-01,2.92,2.351,2.463,2.504,2.578,-3.001,8.157
2023-07-01,2.922,2.028,2.219,4.588,2.39,-3.189,7.968
2023-10-01,2.944,1.512,2.28,3.362,2.246,-3.333,7.824
2024-01-01,3.107,1.532,2.221,0.839,2.287,-3.292,7.866
2024-04-01,2.92,1.832,2.974,3.526,2.575,-3.004,8.154
2024-07-01,2.756,2.129,2.302,3.286,2.396,-3.183,7.974
2024-10-01,3.005,2.334,2.29,1.835,2.543,-3.036,8.122
2025-01-01,2.941,2.128,3.429,-0.651,2.833,-2.746,8.411
2025-04-01,2.733,3.419,2.374,3.766,2.842,-2.737,8.421
2025-07-01,2.622,1.417,2.466,4.282,2.168,-3.411,7.747
2025-10-01,3.055,2.342,2.374,0.651,2.59,-2.988,8.169
2026-01-01,3.002,2.932,3.566,,3.167,-2.412,8.745
2026-04-01,2.724,3.298,2.556,,2.859,-2.72,8.438
